,miRNA,category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,source,fold_enrichment
0,ALL_UP,KEGG,hsa05206,37,159,9606,"SIRT1,CCND1,SOX4,NOTCH2,PDGFRA,MDM2,KIF23,PDGFRB,E2F3,STAT3,CDK6,TP53,ATM,MAP2K1,CDC25A,IRS1,CASP3,MET,E2F1,CRKL,E2F2,MDM4,EFNA1,MCL1,PTEN,HDAC1,GRB2,BCL2L11,BCL2,CDKN1A,CD44,CDKN2A,CCNE2,HMGA2,MYC,RPS6KA5,NOTCH1","SIRT1,CCND1,SOX4,NOTCH2,PDGFRA,MDM2,KIF23,PDGFRB,E2F3,STAT3,CDK6,TP53,ATM,MAP2K1,CDC25A,IRS1,CASP3,MET,E2F1,CRKL,E2F2,MDM4,EFNA1,MCL1,PTEN,HDAC1,GRB2,BCL2L11,BCL2,CDKN1A,CD44,CDKN2A,CCNE2,HMGA2,MYC,RPS6KA5,NOTCH1",1.21e-15,4.08e-13,MicroRNAs in cancer,KEGG,4.2804906596750785
1,ALL_UP,KEGG,hsa05200,64,515,9606,"SPI1,CCND1,MSH2,F2RL3,JAG1,NOTCH2,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,FGF2,STAT3,LEF1,CDK6,RB1,TP53,CSF1R,FZD1,KIT,BAX,WNT1,MAP2K1,AXIN2,FOS,CASP3,CKS1B,CTBP2,MET,TCF7,SMAD4,E2F1,CRKL,FZD6,TGFBR2,E2F2,EGLN1,DLL1,IL6R,XIAP,PTEN,CCND3,HDAC1,BMP2,FOXO1,IL6ST,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,DCC,AGTR1,SLC2A1,CDKN2A,CCNE2,TXNRD1,HIF1A,AKT1,MYC,RPS6KA5,CTNNB1,IGF1R,NOTCH1","SPI1,CCND1,MSH2,F2RL3,JAG1,NOTCH2,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,FGF2,STAT3,LEF1,CDK6,RB1,TP53,CSF1R,FZD1,KIT,BAX,WNT1,MAP2K1,AXIN2,FOS,CASP3,CKS1B,CTBP2,MET,TCF7,SMAD4,E2F1,CRKL,FZD6,TGFBR2,E2F2,EGLN1,DLL1,IL6R,XIAP,PTEN,CCND3,HDAC1,BMP2,FOXO1,IL6ST,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,DCC,AGTR1,SLC2A1,CDKN2A,CCNE2,TXNRD1,HIF1A,AKT1,MYC,RPS6KA5,CTNNB1,IGF1R,NOTCH1",5.9e-14,9.92e-12,Pathways in cancer,KEGG,2.2859235346551348
2,ALL_UP,KEGG,hsa05224,31,146,9606,"CCND1,JAG1,NOTCH2,CDK4,E2F3,FGF2,LEF1,CDK6,RB1,TP53,FZD1,KIT,BAX,WNT1,MAP2K1,AXIN2,FOS,TCF7,E2F1,FZD6,E2F2,DLL1,PTEN,GRB2,IGF1,CDKN1A,AKT1,MYC,CTNNB1,IGF1R,NOTCH1","CCND1,JAG1,NOTCH2,CDK4,E2F3,FGF2,LEF1,CDK6,RB1,TP53,FZD1,KIT,BAX,WNT1,MAP2K1,AXIN2,FOS,TCF7,E2F1,FZD6,E2F2,DLL1,PTEN,GRB2,IGF1,CDKN1A,AKT1,MYC,CTNNB1,IGF1R,NOTCH1",2.03e-12,2.27e-10,Breast cancer,KEGG,3.905690200210748
3,ALL_UP,KEGG,hsa01522,24,94,9606,"CCND1,JAG1,NOTCH2,CDK4,MDM2,CDKN2C,E2F3,RB1,TP53,BAX,MAP2K1,FOS,E2F1,E2F2,DLL1,SRC,GRB2,IGF1,BCL2,CDKN1A,CDKN2A,AKT1,IGF1R,NOTCH1","CCND1,JAG1,NOTCH2,CDK4,MDM2,CDKN2C,E2F3,RB1,TP53,BAX,MAP2K1,FOS,E2F1,E2F2,DLL1,SRC,GRB2,IGF1,BCL2,CDKN1A,CDKN2A,AKT1,IGF1R,NOTCH1",2.44e-11,1.43e-09,Endocrine resistance,KEGG,4.696478538619925
4,ALL_UP,KEGG,hsa04218,30,150,9606,"SIRT1,SERPINE1,CCND1,RRAS2,CDK4,MDM2,E2F3,CDK6,RB1,TP53,ATM,MAP2K1,CDC25A,ZFP36L1,PPP1CC,E2F1,TGFBR2,E2F2,PTEN,CCND3,FOXO1,IGFBP3,VDAC1,CDK1,CDKN1A,HIPK2,CDKN2A,CCNE2,AKT1,MYC","SIRT1,SERPINE1,CCND1,RRAS2,CDK4,MDM2,E2F3,CDK6,RB1,TP53,ATM,MAP2K1,CDC25A,ZFP36L1,PPP1CC,E2F1,TGFBR2,E2F2,PTEN,CCND3,FOXO1,IGFBP3,VDAC1,CDK1,CDKN1A,HIPK2,CDKN2A,CCNE2,AKT1,MYC",1.7e-11,1.43e-09,Cellular senescence,KEGG,3.6789081885856074
5,ALL_UP,KEGG,hsa05220,22,75,9606,"CCND1,CDK4,MDM2,E2F3,CDK6,RB1,TP53,BAX,MAP2K1,CTBP2,SMAD4,E2F1,CRKL,TGFBR2,E2F2,HDAC1,GRB2,CDKN1A,CDKN2A,AKT1,MYC,PTPN11","CCND1,CDK4,MDM2,E2F3,CDK6,RB1,TP53,BAX,MAP2K1,CTBP2,SMAD4,E2F1,CRKL,TGFBR2,E2F2,HDAC1,GRB2,CDKN1A,CDKN2A,AKT1,MYC,PTPN11",1.7e-11,1.43e-09,Chronic myeloid leukemia,KEGG,5.395732009925558
6,ALL_UP,KEGG,hsa04115,21,72,9606,"SERPINE1,CCND1,CDK4,MDM2,CDK6,TP53,TNFRSF10B,ATM,BAX,CASP3,ZMAT3,MDM4,PTEN,CCND3,IGFBP3,IGF1,CDK1,BCL2,CDKN1A,CDKN2A,CCNE2","SERPINE1,CCND1,CDK4,MDM2,CDK6,TP53,TNFRSF10B,ATM,BAX,CASP3,ZMAT3,MDM4,PTEN,CCND3,IGFBP3,IGF1,CDK1,BCL2,CDKN1A,CDKN2A,CCNE2",5.38e-11,2.58e-09,p53 signaling pathway,KEGG,5.365074441687345
7,ALL_UP,KEGG,hsa05218,21,72,9606,"CCND1,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,FGF2,CDK6,RB1,TP53,BAX,MAP2K1,MET,E2F1,E2F2,PTEN,IGF1,CDKN1A,CDKN2A,AKT1,IGF1R","CCND1,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,FGF2,CDK6,RB1,TP53,BAX,MAP2K1,MET,E2F1,E2F2,PTEN,IGF1,CDKN1A,CDKN2A,AKT1,IGF1R",5.38e-11,2.58e-09,Melanoma,KEGG,5.365074441687345
8,ALL_UP,KEGG,hsa04550,28,141,9606,"NANOG,INHBA,RIF1,POU5F1,FGF2,STAT3,NODAL,FZD1,WNT1,INHBB,MAP2K1,AXIN2,REST,SOX2,PCGF5,TCF7,JARID2,SMAD4,FZD6,IL6ST,GRB2,IGF1,LIFR,POU5F1B,AKT1,MYC,CTNNB1,IGF1R","NANOG,INHBA,RIF1,POU5F1,FGF2,STAT3,NODAL,FZD1,WNT1,INHBB,MAP2K1,AXIN2,REST,SOX2,PCGF5,TCF7,JARID2,SMAD4,FZD6,IL6ST,GRB2,IGF1,LIFR,POU5F1B,AKT1,MYC,CTNNB1,IGF1R",9.28e-11,3.47e-09,Signaling pathways regulating pluripotency of stem cells,KEGG,3.6528166411488305
9,ALL_UP,KEGG,hsa05215,23,97,9606,"CCND1,PDGFRA,MDM2,PDGFRB,E2F3,LEF1,RB1,TP53,MAP2K1,TCF7,E2F1,CREB5,E2F2,PTEN,FOXO1,GRB2,IGF1,BCL2,CDKN1A,CCNE2,AKT1,CTNNB1,IGF1R","CCND1,PDGFRA,MDM2,PDGFRB,E2F3,LEF1,RB1,TP53,MAP2K1,TCF7,E2F1,CREB5,E2F2,PTEN,FOXO1,GRB2,IGF1,BCL2,CDKN1A,CCNE2,AKT1,CTNNB1,IGF1R",2.24e-10,7.51e-09,Prostate cancer,KEGG,4.361592182343762
10,ALL_UP,KEGG,hsa05214,20,71,9606,"CCND1,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,CDK6,RB1,TP53,BAX,MAP2K1,E2F1,E2F2,PTEN,GRB2,IGF1,CDKN1A,CDKN2A,AKT1,IGF1R","CCND1,PDGFRA,CDK4,MDM2,PDGFRB,E2F3,CDK6,RB1,TP53,BAX,MAP2K1,E2F1,E2F2,PTEN,GRB2,IGF1,CDKN1A,CDKN2A,AKT1,IGF1R",2.59e-10,7.93e-09,Glioma,KEGG,5.181560828993815
11,ALL_UP,KEGG,hsa05165,41,324,9606,"PPP2CB,CCND1,TBPL1,TUBG1,JAG1,NOTCH2,CDK4,MDM2,PDGFRB,CDK6,RB1,TP53,ATM,FZD1,BAX,WNT1,MAP2K1,AXIN2,CASP3,PSEN1,PPP2R5E,TCF7,E2F1,CREB5,FZD6,THBS2,PARD6B,PTEN,CCND3,HDAC1,FOXO1,IFNB1,GRB2,CDKN1A,TNF,PPP2CA,CCNE2,HES7,AKT1,CTNNB1,NOTCH1","PPP2CB,CCND1,TBPL1,TUBG1,JAG1,NOTCH2,CDK4,MDM2,PDGFRB,CDK6,RB1,TP53,ATM,FZD1,BAX,WNT1,MAP2K1,AXIN2,CASP3,PSEN1,PPP2R5E,TCF7,E2F1,CREB5,FZD6,THBS2,PARD6B,PTEN,CCND3,HDAC1,FOXO1,IFNB1,GRB2,CDKN1A,TNF,PPP2CA,CCNE2,HES7,AKT1,CTNNB1,NOTCH1",1.36e-09,3.69e-08,Human papillomavirus infection,KEGG,2.32770425512361
12,ALL_UP,KEGG,hsa05225,28,161,9606,"CCND1,CDK4,E2F3,LEF1,CDK6,RB1,TP53,FZD1,BAX,WNT1,MAP2K1,AXIN2,MET,TCF7,SMAD4,E2F1,FZD6,TGFBR2,E2F2,PTEN,GRB2,CDKN1A,CDKN2A,TXNRD1,AKT1,MYC,CTNNB1,IGF1R","CCND1,CDK4,E2F3,LEF1,CDK6,RB1,TP53,FZD1,BAX,WNT1,MAP2K1,AXIN2,MET,TCF7,SMAD4,E2F1,FZD6,TGFBR2,E2F2,PTEN,GRB2,CDKN1A,CDKN2A,TXNRD1,AKT1,MYC,CTNNB1,IGF1R",1.32e-09,3.69e-08,Hepatocellular carcinoma,KEGG,3.199050598770094
13,ALL_UP,KEGG,hsa05166,32,210,9606,"SPI1,CCND1,HLA-DOA,TBPL1,CDK4,CDKN2C,E2F3,RB1,TP53,ATM,BAX,MAP2K1,FOS,FOSL1,SMAD4,E2F1,CREB5,ELK4,TGFBR2,E2F2,XIAP,PTEN,CCND3,VDAC1,CDKN1A,TNF,MAP2K4,SLC2A1,CDKN2A,CCNE2,AKT1,MYC","SPI1,CCND1,HLA-DOA,TBPL1,CDK4,CDKN2C,E2F3,RB1,TP53,ATM,BAX,MAP2K1,FOS,FOSL1,SMAD4,E2F1,CREB5,ELK4,TGFBR2,E2F2,XIAP,PTEN,CCND3,VDAC1,CDKN1A,TNF,MAP2K4,SLC2A1,CDKN2A,CCNE2,AKT1,MYC",1.67e-09,4e-08,Human T-cell leukemia virus 1 infection,KEGG,2.8029776674937965
14,ALL_UP,KEGG,hsa05210,20,82,9606,"CCND1,MSH2,LEF1,TP53,BAX,MAP2K1,AXIN2,FOS,CASP3,TCF7,SMAD4,TGFBR2,GRB2,BCL2L11,BCL2,CDKN1A,DCC,AKT1,MYC,CTNNB1","CCND1,MSH2,LEF1,TP53,BAX,MAP2K1,AXIN2,FOS,CASP3,TCF7,SMAD4,TGFBR2,GRB2,BCL2L11,BCL2,CDKN1A,DCC,AKT1,MYC,CTNNB1",2.2e-09,4.93e-08,Colorectal cancer,KEGG,4.486473400714156
15,ALL_UP,KEGG,hsa05169,30,192,9606,"TAB1,CCND1,HLA-DOA,CDK4,MDM2,TLR2,E2F3,STAT3,CDK6,RB1,TP53,BAX,CASP3,E2F1,E2F2,CCND3,HDAC1,IFNB1,BCL2L11,SIN3A,BCL2,RUNX3,CDKN1A,CD44,TNF,TAPBP,MAP2K4,CCNE2,AKT1,MYC","TAB1,CCND1,HLA-DOA,CDK4,MDM2,TLR2,E2F3,STAT3,CDK6,RB1,TP53,BAX,CASP3,E2F1,E2F2,CCND3,HDAC1,IFNB1,BCL2L11,SIN3A,BCL2,RUNX3,CDKN1A,CD44,TNF,TAPBP,MAP2K4,CCNE2,AKT1,MYC",3.21e-09,6.73e-08,Epstein-Barr virus infection,KEGG,2.874147022332506
