MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT000374,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,E2F1,1,1,1,1,1,0,0,0,1,6,3,Tier B: High
MIRT001223,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CDKN1A,1,1,1,1,0,0,0,0,1,5,5,Tier B: High
MIRT001837,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HIPK3,1,0,0,1,0,0,0,0,1,3,2,Tier C: Middle
MIRT001838,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MYLIP,1,1,0,1,1,0,1,1,1,7,15,Tier A: Strong
MIRT001840,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RB1,1,1,1,1,1,0,1,0,1,7,8,Tier B: High
MIRT001935,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,APP,1,1,1,0,0,0,0,1,1,5,3,Tier A: Strong
MIRT003743,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RUNX1,1,1,1,0,0,0,0,0,1,4,1,Tier B: High
MIRT004028,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ARID4B,1,1,0,1,1,0,1,1,1,7,7,Tier A: Strong
MIRT004465,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,VEGFA,1,0,0,1,0,0,0,1,1,4,3,Tier A: Strong
MIRT005082,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,IL10,1,0,1,0,0,0,0,0,1,3,1,Tier C: Middle
MIRT006331,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FAS,1,0,0,0,0,0,0,0,0,1,1,Tier C: Middle
MIRT006825,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TGFBR2,1,0,1,0,1,0,1,1,1,5,8,Tier A: Strong
MIRT007270,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CYP19A1,1,0,0,0,0,0,0,0,0,1,1,Tier C: Middle
MIRT026980,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PAK7,0,0,0,0,0,0,0,0,1,1,1,Tier D: Low
MIRT026981,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PTEN,1,1,1,0,0,0,0,0,1,4,3,Tier B: High
MIRT035532,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SIRPA,1,0,0,0,0,0,0,1,1,2,2,Tier B: High
MIRT048312,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,XIAP,0,0,0,0,1,0,1,1,0,2,3,Tier B: High
MIRT048313,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CUL4A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048314,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,COL2A1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048315,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TFG,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048316,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RPH3A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048317,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SMG1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048318,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PELI1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048319,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRRC2A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048320,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CYB561D1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048321,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CKAP2,0,0,0,0,1,0,1,1,0,2,3,Tier B: High
MIRT048322,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZBTB47,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048323,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SH3BP5L,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048324,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HEATR1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048325,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TTLL12,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048326,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ARL9,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048327,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ARHGAP5,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048328,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SIPA1L3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048329,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NOTCH2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048330,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RNF182,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048331,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,VDAC1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048332,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,AGO1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048333,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SEPT2,0,0,0,0,1,0,1,1,0,2,5,Tier B: High
MIRT048334,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CHST14,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048335,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KPNA2,0,0,0,0,1,0,1,1,0,2,11,Tier B: High
MIRT048336,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SDHA,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048337,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HOXC11,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048338,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CHTF8,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048339,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DCBLD2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048340,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RTCA,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048341,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DLST,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048342,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRPF8,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048343,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PPP2R1A,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048344,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAD23B,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048345,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MTMR3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048346,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RTN3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048347,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,WEE1,0,0,0,0,1,0,1,1,0,2,3,Tier B: High
MIRT048348,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EIF3M,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048349,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HDHD1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048350,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CCDC47,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048351,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RDH11,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048352,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GNB1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048353,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EIF4G2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048354,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MTF1,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT048355,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF598,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT053068,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC2A3,1,1,1,0,0,0,0,0,0,3,1,Tier B: High
MIRT053203,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BMP2,1,1,1,0,1,0,1,0,0,5,3,Tier B: High
MIRT053229,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,STAT3,1,1,1,0,1,0,0,0,0,7,4,Tier B: High
MIRT053230,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CCND1,0,1,1,0,1,0,1,1,1,5,14,Tier A: Strong
MIRT053296,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ATM,1,1,1,0,0,0,0,1,1,4,2,Tier A: Strong
MIRT053388,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CASP7,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT053389,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BCL10,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT053564,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RUNX3,1,1,1,0,1,0,1,0,0,5,3,Tier B: High
MIRT053595,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TIMP2,1,1,1,0,0,0,0,0,0,3,3,Tier B: High
MIRT054221,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MAPK9,1,0,1,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT054224,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,LIMK1,1,0,1,0,0,0,0,1,1,3,2,Tier A: Strong
MIRT054367,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FASTK,1,1,1,1,0,0,0,0,0,4,1,Tier B: High
MIRT054883,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MAPK14,0,0,1,0,0,0,0,0,0,1,1,Tier D: Low
MIRT055022,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TPRG1L,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT055385,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SHOC2,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT056302,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,WAC,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT056478,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PFKP,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT056815,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,REEP3,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT057386,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TNKS2,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT057824,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC30A7,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT060499,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PPP6R3,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT061183,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MED17,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT061790,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PPP1R15B,0,0,0,0,1,0,1,1,1,3,11,Tier B: High
MIRT063056,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ULK1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT064437,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GPR137B,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT064799,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZBTB18,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT065672,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ACVR1B,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT065860,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GDF11,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT065887,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAB5B,0,0,0,0,1,0,1,1,1,3,9,Tier B: High
MIRT067231,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FOXJ2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT069698,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FOXJ3,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT070743,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HIF1A,1,1,1,0,0,0,0,0,0,3,1,Tier B: High
MIRT070841,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EIF2S1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT070998,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SMOC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT071906,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZFYVE9,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT072248,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,B2M,0,0,0,0,1,0,1,0,0,2,10,Tier C: Middle
MIRT075777,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA0513,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT076179,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GID4,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT077067,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KRT10,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT077833,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MINK1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT078813,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,UNK,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT079346,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CCDC137,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT079413,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FOXK2,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT079774,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CABLES1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT080179,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRKACB,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT080224,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SMAD4,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT081118,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,LDLR,0,0,0,0,1,0,1,1,1,3,9,Tier B: High
MIRT081199,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MIDN,0,0,0,0,1,0,1,0,0,2,10,Tier C: Middle
MIRT082293,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FNBP1L,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT083962,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAB22A,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT084346,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RRM2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT085174,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC5A3,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT086428,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NABP1,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT088034,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,UBXN2A,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT088338,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MAPRE3,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT090635,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,U2SURP,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT092686,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,C3ORF38,0,0,0,0,1,0,1,1,1,3,9,Tier B: High
MIRT093802,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KLF3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT095721,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ANKH,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT097130,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FCHO2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT099310,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,QKI,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT099826,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SOX4,0,0,0,0,1,0,1,1,1,3,11,Tier B: High
MIRT100947,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CENPQ,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT102223,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HBP1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT102296,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DNAJB9,0,0,0,0,1,0,1,0,0,2,10,Tier C: Middle
MIRT103193,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SP4,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT104163,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PHTF2,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT108652,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZBTB33,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT112091,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TIMM17A,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT115782,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CAPN15,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT122365,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RGMB,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT124128,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GINS4,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT126554,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MASTL,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT130075,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TXNIP,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT135795,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GNS,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT143571,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RBL2,1,0,0,0,0,0,0,1,1,2,2,Tier B: High
MIRT144300,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NFAT5,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT145599,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,LASP1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT153329,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MAVS,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT153972,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRNP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT155892,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SIK1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT158576,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TNRC6B,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT159111,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NRBP1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT164527,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MSMO1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT170851,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TAX1BP1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT175381,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ACSL4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT178063,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SAMD8,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT182519,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZBTB37,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT187474,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PCBP2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT188184,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DYRK2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT199108,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF532,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT199284,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SH3GLB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT200925,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF264,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT201020,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF805,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT205048,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CREB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT205283,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,STK11IP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT206194,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAB10,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT208977,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SKIL,0,0,0,0,1,0,1,0,0,2,10,Tier C: Middle
MIRT213205,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,REST,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT213323,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA0232,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT216425,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SERF1A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT216450,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SERF1B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT216663,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,F2R,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT220121,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CAV1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT222675,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EIF4H,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT224749,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DPYSL2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT230967,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRRG4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT238174,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ANKRD33B,0,0,0,0,1,0,1,1,1,3,11,Tier B: High
MIRT241295,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZC3H12C,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT242198,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TTC9,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT242659,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SALL3,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT244590,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HOOK3,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT246962,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TSKU,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT257281,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FOXC1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT266051,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FJX1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT266855,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC25A44,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT280209,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EIF2B2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT280992,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SPRED1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT283174,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,C16ORF52,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT286948,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SOCS7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT289575,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KDM6B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT291933,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TPM4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT293647,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PVR,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT302437,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CLIP4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT303491,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NAGK,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT322522,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HMBOX1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT325512,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PTPDC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT363925,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,UBE2V2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT368884,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BCL2L2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT397686,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ATXN7L3B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT400048,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ADRBK2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT438794,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TP53,0,0,1,0,0,0,0,0,0,1,1,Tier D: Low
